game_id,attendance,team,tie,stage,round,year,date,time,home,lat,long,goals,team_num
24,49348,England,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,2,1
24,49348,Soviet Union,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,2,2
25,17778,Brazil,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,58.356336,11.949346,3,1
25,17778,Austria,FALSE,GROUP STAGE,FALSE,1958,8-06-1958 (19:00 h),19:00,Sweden,58.356336,11.949346,0,2
26,31156,FRG,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,56.049839,12.70039,2,1
26,31156,Czechoslovakia,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,56.049839,12.70039,2,2
27,14174,Argentina,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,56.684182,12.867464,3,1
27,14174,Northern Ireland,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,56.684182,12.867464,1,2
28,11665,Paraguay,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,58.58441,16.171553,3,1
28,11665,Scotland,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,58.58441,16.171553,2,2
29,12217,Yugoslavia,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,59.6200341,16.5378944,3,1
29,12217,France,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,59.6200341,16.5378944,2,2
30,15150,Wales,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,1,1
30,15150,Mexico,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,1,2
31,40895,Brazil,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,0,1
31,40895,England,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,0,2
32,21239,Soviet Union,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,57.73572,12.934914,0,1
32,21239,Austria,FALSE,GROUP STAGE,FALSE,1958,11-06-1958 (19:00 h),19:00,Sweden,57.73572,12.934914,0,2
33,38850,Sweden,FALSE,GROUP STAGE,FALSE,1958,12-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,2,1
33,38850,Hungary,FALSE,GROUP STAGE,FALSE,1958,12-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,1,2
34,30287,Sweden,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (14:00 h),14:00,Sweden,59.366667,17.9833329,0,1
34,30287,Wales,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (14:00 h),14:00,Sweden,59.366667,17.9833329,0,2
35,21990,FRG,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,2,1
35,21990,Northern Ireland,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,2,2
36,16418,Czechoslovakia,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,56.049839,12.70039,6,1
36,16418,Argentina,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,56.049839,12.70039,1,2
37,13554,France,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,59.266051,15.221614,2,1
37,13554,Scotland,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,59.266051,15.221614,1,2
38,13103,Yugoslavia,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,59.370709,16.49502,3,1
38,13103,Paraguay,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,59.370709,16.49502,3,2
39,13310,Hungary,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,60.60904,16.770892,4,1
39,13310,Mexico,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,60.60904,16.770892,0,2
40,50928,Brazil,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,2,1
40,50928,Soviet Union,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,0,2
41,15872,England,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,57.73572,12.934914,2,1
41,15872,Austria,FALSE,GROUP STAGE,FALSE,1958,15-06-1958 (19:00 h),19:00,Sweden,57.73572,12.934914,2,2
42,6196,Northern Ireland,TRUE,GROUP STAGE,FALSE,1958,17-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,2,1
42,6196,Czechoslovakia,TRUE,GROUP STAGE,FALSE,1958,17-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,1,2
43,2823,Wales,TRUE,GROUP STAGE,FALSE,1958,17-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,2,1
43,2823,Hungary,TRUE,GROUP STAGE,FALSE,1958,17-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,1,2
44,23182,Soviet Union,TRUE,GROUP STAGE,FALSE,1958,17-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,1,1
44,23182,England,TRUE,GROUP STAGE,FALSE,1958,17-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,0,2
45,31900,Sweden,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (14:00 h),14:00,Sweden,59.366667,17.9833329,2,1
45,31900,Soviet Union,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (14:00 h),14:00,Sweden,59.366667,17.9833329,0,2
46,20055,FRG,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,1,1
46,20055,Yugoslavia,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (19:00 h),19:00,Sweden,55.586067,12.989247,0,2
47,11800,France,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (19:00 h),19:00,Sweden,58.58441,16.171553,4,1
47,11800,Northern Ireland,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (19:00 h),19:00,Sweden,58.58441,16.171553,0,2
48,25923,Brazil,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,1,1
48,25923,Wales,FALSE,1/4 FINAL,FALSE,1958,19-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,0,2
49,49471,Sweden,FALSE,1/2 FINAL,FALSE,1958,24-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,3,1
49,49471,FRG,FALSE,1/2 FINAL,FALSE,1958,24-06-1958 (19:00 h),19:00,Sweden,57.705913,11.98723,1,2
50,27100,Brazil,FALSE,1/2 FINAL,FALSE,1958,24-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,5,1
50,27100,France,FALSE,1/2 FINAL,FALSE,1958,24-06-1958 (19:00 h),19:00,Sweden,59.366667,17.9833329,2,2
51,32482,France,FALSE,PLACES 3-4,FALSE,1958,28-06-1958 (17:00 h),17:00,Sweden,57.705913,11.98723,6,1
51,32482,FRG,FALSE,PLACES 3-4,FALSE,1958,28-06-1958 (17:00 h),17:00,Sweden,57.705913,11.98723,3,2
52,49737,Brazil,FALSE,FINAL ROUND,FALSE,1958,29-06-1958 (15:00 h),15:00,Sweden,59.366667,17.9833329,5,1
52,49737,Sweden,FALSE,FINAL ROUND,FALSE,1958,29-06-1958 (15:00 h),15:00,Sweden,59.366667,17.9833329,2,2
53,95000,Argentina,FALSE,GROUP STAGE,first,1982,13-06-1982 (20:00 h),20:00,Spain,41.380896,2.12282,0,1
53,95000,Belgium,FALSE,GROUP STAGE,first,1982,13-06-1982 (20:00 h),20:00,Spain,41.380896,2.12282,1,2
54,22000,Italy,FALSE,GROUP STAGE,first,1982,14-06-1982 (17:15 h),17:15,Spain,42.211947,-8.73973,0,1
54,22000,Poland,FALSE,GROUP STAGE,first,1982,14-06-1982 (17:15 h),17:15,Spain,42.211947,-8.73973,0,2
55,50000,Brazil,FALSE,GROUP STAGE,first,1982,14-06-1982 (21:00 h),21:00,Spain,37.384066,-5.97069,2,1
55,50000,Soviet Union,FALSE,GROUP STAGE,first,1982,14-06-1982 (21:00 h),21:00,Spain,37.384066,-5.97069,1,2
56,15000,Peru,FALSE,GROUP STAGE,first,1982,15-06-1982 (17:15 h),17:15,Spain,43.36872,-8.417484,0,1
56,15000,Cameroon,FALSE,GROUP STAGE,first,1982,15-06-1982 (17:15 h),17:15,Spain,43.36872,-8.417484,0,2
57,23000,Hungary,FALSE,GROUP STAGE,first,1982,15-06-1982 (21:00 h),21:00,Spain,38.278536,-0.707856,1,1
57,23000,El Salvador,FALSE,GROUP STAGE,first,1982,15-06-1982 (21:00 h),21:00,Spain,38.278536,-0.707856,1,2
58,22000,Scotland,FALSE,GROUP STAGE,first,1982,15-06-1982 (21:00 h),21:00,Spain,36.7355448,-4.426569,5,1
58,22000,New Zealand,FALSE,GROUP STAGE,first,1982,15-06-1982 (21:00 h),21:00,Spain,36.7355448,-4.426569,2,2
59,25000,FRG,FALSE,GROUP STAGE,first,1982,16-06-1982 (17:15 h),17:15,Spain,43.538898,-5.645742,1,1
59,25000,Algeria,FALSE,GROUP STAGE,first,1982,16-06-1982 (17:15 h),17:15,Spain,43.538898,-5.645742,2,2
60,44172,England,FALSE,GROUP STAGE,first,1982,16-06-1982 (17:15 h),17:15,Spain,43.263513,-2.948131,3,1
60,44172,France,FALSE,GROUP STAGE,first,1982,16-06-1982 (17:15 h),17:15,Spain,43.263513,-2.948131,1,2
61,49562,Spain,FALSE,GROUP STAGE,first,1982,16-06-1982 (21:00 h),21:00,Spain,22.1648245,-101.0045432,1,1
61,49562,Honduras,FALSE,GROUP STAGE,first,1982,16-06-1982 (21:00 h),21:00,Spain,22.1648245,-101.0045432,1,2
62,22000,Chile,FALSE,GROUP STAGE,first,1982,17-06-1982 (17:15 h),17:15,Spain,43.360742,-5.870283,0,1
62,22000,Austria,FALSE,GROUP STAGE,first,1982,17-06-1982 (17:15 h),17:15,Spain,43.360742,-5.870283,1,2
63,12000,Czechoslovakia,FALSE,GROUP STAGE,first,1982,17-06-1982 (17:15 h),17:15,Spain,41.644608,-4.761273,1,1
63,12000,Kuwait,FALSE,GROUP STAGE,first,1982,17-06-1982 (17:15 h),17:15,Spain,41.644608,-4.761273,1,2
64,18000,Yugoslavia,FALSE,GROUP STAGE,first,1982,17-06-1982 (21:00 h),21:00,Spain,41.6350994,-0.8985067,0,1
64,18000,Northern Ireland,FALSE,GROUP STAGE,first,1982,17-06-1982 (21:00 h),21:00,Spain,41.6350994,-0.8985067,0,2
65,25000,Italy,FALSE,GROUP STAGE,first,1982,18-06-1982 (17:15 h),17:15,Spain,42.211947,-8.73973,1,1
65,25000,Peru,FALSE,GROUP STAGE,first,1982,18-06-1982 (17:15 h),17:15,Spain,42.211947,-8.73973,1,2
66,32093,Argentina,FALSE,GROUP STAGE,first,1982,18-06-1982 (21:00 h),21:00,Spain,38.357446,-0.492724,4,1
66,32093,Hungary,FALSE,GROUP STAGE,first,1982,18-06-1982 (21:00 h),21:00,Spain,38.357446,-0.492724,1,2
67,47379,Brazil,FALSE,GROUP STAGE,first,1982,18-06-1982 (21:00 h),21:00,Spain,37.356504,-5.981752,4,1
67,47379,Scotland,FALSE,GROUP STAGE,first,1982,18-06-1982 (21:00 h),21:00,Spain,37.356504,-5.981752,1,2
68,12000,Poland,FALSE,GROUP STAGE,first,1982,19-06-1982 (17:15 h),17:15,Spain,43.36872,-8.417484,0,1
68,12000,Cameroon,FALSE,GROUP STAGE,first,1982,19-06-1982 (17:15 h),17:15,Spain,43.36872,-8.417484,0,2
69,6000,Belgium,FALSE,GROUP STAGE,first,1982,19-06-1982 (21:00 h),21:00,Spain,38.278536,-0.707856,1,1
69,6000,El Salvador,FALSE,GROUP STAGE,first,1982,19-06-1982 (21:00 h),21:00,Spain,38.278536,-0.707856,0,2
70,17000,Soviet Union,FALSE,GROUP STAGE,first,1982,19-06-1982 (21:00 h),21:00,Spain,36.7355448,-4.426569,3,1
70,17000,New Zealand,FALSE,GROUP STAGE,first,1982,19-06-1982 (21:00 h),21:00,Spain,36.7355448,-4.426569,0,2
71,40000,FRG,FALSE,GROUP STAGE,first,1982,20-06-1982 (17:15 h),17:15,Spain,43.538898,-5.645742,4,1
71,40000,Chile,FALSE,GROUP STAGE,first,1982,20-06-1982 (17:15 h),17:15,Spain,43.538898,-5.645742,1,2
72,44182,England,FALSE,GROUP STAGE,first,1982,20-06-1982 (17:15 h),17:15,Spain,43.263513,-2.948131,2,1
72,44182,Czechoslovakia,FALSE,GROUP STAGE,first,1982,20-06-1982 (17:15 h),17:15,Spain,43.263513,-2.948131,0,2
